Project,Activity,Start,Stop,Time
grin-telegram-bot,Working on the customizable initiating and destroying the data structure,2022-08-05 13:11:19,2022-08-05 13:54:12,00:42:54
,Coding time,2022-07-18 16:54:31,2022-07-18 18:25:13,01:30:42
,Handling cases for context creation and destruction,2022-08-05 14:01:04,2022-08-05 14:38:58,00:37:55
,"Re-designing the callbacks again, this time to be OOP-based",2022-08-06 10:06:49,2022-08-06 11:24:48,01:17:59
,Testing the context dispatcher user_data access solution we got from python-telegram-bot GitHub,2022-07-28 10:04:45,2022-07-28 10:16:34,00:11:49
,Updating bot architecture to be more flexible and also allow the support group bot,2022-07-27 17:52:49,2022-07-27 18:41:54,00:49:06
,Implementing the new bot architecture,2022-07-31 13:31:51,2022-07-31 15:03:25,01:31:35
,Implementing the new bot architecture,2022-07-30 11:50:12,2022-07-30 13:33:03,01:42:51
,Implementing the new OOP design,2022-08-06 13:41:22,2022-08-06 14:27:24,00:46:02
,Updating bot architecture to be more flexible and also allow the support group bot,2022-07-26 15:11:55,2022-07-26 16:30:25,01:18:31
mimblewimble-py,Working on deriving slatepack addresses using ed25519,2022-07-29 14:11:45,2022-07-29 15:29:36,01:17:51
,Implementing the mnemonic phrase codec,2022-07-10 13:44:07,2022-07-10 15:40:18,01:56:11
,Working on encryption of the master seed using a symmetric cipher,2022-07-24 12:50:23,2022-07-24 14:28:32,01:38:10
,Working on the child key derivation path,2022-07-15 17:12:44,2022-07-15 17:52:53,00:40:09
,Researching how to derive slatepack addresses from the wallet seed,2022-07-20 16:07:56,2022-07-20 16:52:44,00:44:48
,Implementing the extended keys,2022-07-20 13:18:09,2022-07-20 15:01:08,01:42:59
,Working on deriving slatepack addresses using ed25519,2022-07-26 14:49:20,2022-07-26 15:10:51,00:21:32
,Working on deriving slatepack addresses using ed25519,2022-07-25 13:09:15,2022-07-25 13:46:45,00:37:30
,Working on deriving slatepack addresses using ed25519,2022-07-24 15:22:16,2022-07-24 16:41:03,01:18:48
,Studying grin++ source code on account derivation,2022-07-13 13:51:26,2022-07-13 14:46:12,00:54:47
,Working on the child key derivation path,2022-07-15 14:43:27,2022-07-15 15:25:56,00:42:29
,Working on the child key derivation path,2022-07-17 10:30:38,2022-07-17 11:14:53,00:44:15
,Collecting test data from the core wallet,2022-07-23 09:45:29,2022-07-23 10:21:33,00:36:05
rfcs,Responding to Anonymous,2022-07-10 12:35:19,2022-07-10 13:28:38,00:53:20
Total,,,,24:38:18
